섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,12.53,14.27,,24289753
은행,11,10.67,7.87,,2066952
제약,62,5.89,3.03,,1519173
조선,14,2.08,22.5,,1483175
자동차,10,7.42,9.16,16.78,1313015
전기제품,11,2.45,-9.42,,1109100
복합기업,17,33.58,2.65,,965735
우주항공과국방,8,33.97,18.71,,946763
전자장비와기기,20,19.82,0.59,10.05,851618
증권,33,6.34,8.95,,849614
전기장비,14,38.41,17.0,,835722
석유와가스,12,7.32,-0.77,,779562
자동차부품,73,4.65,5.66,,737924
화학,72,-37.94,5.75,9.48,656561
생명보험,4,13.44,5.94,,596627
기계,22,14.74,3.37,21.07,577562
손해보험,11,9.84,12.67,,497565
양방향미디어와서비스,3,20.21,5.08,,466935
IT서비스,14,29.11,7.52,,402043
화장품,19,11.47,15.5,,357474
식품,52,3.59,1.31,,349473
철강,36,4.93,0.36,16.46,343181
건설,39,12.02,7.26,,332527
전기유틸리티,4,47.7,11.65,,265258
전자제품,4,-26.84,4.36,,251493
비철금속,26,6.24,3.51,,244987
해운사,8,12.52,7.94,,234212
무선통신서비스,3,29.12,4.67,,233417
게임엔터테인먼트,5,10.35,11.92,,231163
담배,1,18.3,11.77,,192880
항공사,8,5.8,-83.43,,188398
"섬유,의류,신발,호화품",45,12.71,5.29,11.82,184140
백화점과일반상점,12,18.92,1.63,,181941
항공화물운송과물류,10,-1.64,7.48,,169985
다각화된통신서비스,1,8.62,10.22,,133067
무역회사와판매업체,7,13.1,84.01,,128722
기타,25,,,,125104
에너지장비및서비스,10,-1.62,2.08,,113781
부동산,28,32.63,1.28,18.18,95147
가정용기기와용품,5,9.08,11.76,,88100
방송과엔터테인먼트,8,48.55,-2.5,,86600
가스유틸리티,11,5.57,7.33,,75810
건축자재,31,2.01,3.84,,75550
"호텔,레스토랑,레저",10,8.54,5.36,,71310
운송인프라,3,5.99,10.46,,63321
카드,1,8.88,7.45,,54859
디스플레이패널,2,-52.39,3.44,,43210
상업서비스와공급품,9,13.33,9.04,,42693
광고,3,8.09,10.32,,30750
음료,9,3.03,3.71,,25999
포장재,16,-22.95,2.12,,22501
통신장비,3,28.64,8.28,,22256
도로와철도운송,5,-7.77,-10.84,,21696
건강관리장비와용품,5,12.08,-4.92,,16854
가구,7,18.18,4.35,,15786
핸드셋,3,-10.19,4.47,,11374
복합유틸리티,1,2.38,14.84,9.3,7665
종이와목재,10,70.24,-4.03,,6603
디스플레이장비및부품,3,10.3,7.49,,5779
사무용전자제품,1,15.09,1.88,,3857
창업투자,1,13.31,5.99,,2869
교육서비스,4,-2.29,-12.33,11.97,2161
건축제품,4,0.6,-1.76,,2131
출판,2,3.1,96.89,,2068
건강관리업체및서비스,1,4.37,11.08,,1865
식품과기본식료품소매,2,3.1,11.89,,1607
전문소매,1,-16.03,-0.26,,1450
레저용장비와제품,2,3.84,6.36,,1333
가정용품,2,,,,1153
소프트웨어,1,8.97,5.56,,1122
생물공학,2,,,,989
판매업체,2,,,,898
컴퓨터와주변기기,2,,,,594
문구류,1,,,,275
