카테고리,거래수,평균수익률(%),승률(%),최대수익(%),최대손실(%),표준편차,보유기간
[D] 모멘텀,108,1.13,51.9,43.02,-26.89,9.94,5일
[E] 과매도,227,0.83,53.7,34.31,-19.03,7.86,5일
[F] 단기관심,136,0.36,47.1,43.02,-26.89,10.73,5일
