Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,18094232,309500,27165336,25.02,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,17062095,2394000,6898839,23.43,44.15,,◎ 대장주(#2)
402340,SK스퀘어,반도체와반도체장비,2070427,1569000,1160601,13.49,37.82,,◎ 대장주(#3)
005935,삼성전자우,반도체와반도체장비,1652885,206000,4454956,16.81,,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,1431878,1917000,1027256,187.87,7.7,,○ 우량주(#5)
005380,현대차,자동차,997170,487000,862083,15.17,8.41,,○ 우량주(#6)
032830,삼성생명,생명보험,766000,383000,396302,26.68,4.96,,○ 우량주(#7)
028260,삼성물산,복합기업,702186,433000,585720,29.07,6.02,,△ 중대형(#8)
207940,삼성바이오로직스,제약,656406,1418000,48619,46.17,19.44,,△ 중대형(#9)
105560,KB금융,은행,610772,172200,1319683,10.75,9.98,,△ 중대형(#10)
