Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
017670,SK텔레콤,무선통신서비스,86400,7.59,-4.64,50.64,3.33,184719,◎ 극과매도(RSI 8)
307950,현대오토에버,IT서비스,505000,8.87,-0.39,76.6,10.27,136571,◎ 극과매도(RSI 9)
018880,한온시스템,자동차부품,3850,14.67,8.15,-29.62,-6.0,39306,◎ 극과매도(RSI 15)
035420,NAVER,양방향미디어와서비스,195800,15.66,-0.31,17.0,7.37,307029,◎ 극과매도(RSI 16)
005380,현대차,자동차,492000,16.59,2.39,15.17,8.41,997170,◎ 극과매도(RSI 17)
034220,LG디스플레이,디스플레이패널,11070,16.59,-2.64,-67.91,3.44,55050,◎ 극과매도(RSI 17)
489790,한화비전,통신장비,50900,17.06,-3.42,75.52,5.4,25547,◎ 극과매도(RSI 17)
020150,롯데에너지머티리얼즈,전자장비와기기,39750,18.48,-5.58,-19.06,-10.54,20423,◎ 극과매도(RSI 18)
042700,한미반도체,반도체와반도체장비,232500,18.97,-9.71,124.53,34.76,219218,◎ 극과매도(RSI 19)
007810,코리아써키트,전자장비와기기,80200,19.37,-12.06,30.82,11.54,18970,◎ 극과매도(RSI 19)
