섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,19.75,14.27,,39281183
은행,11,11.32,7.87,,2131121
전자장비와기기,20,37.05,0.59,,1794216
조선,14,1.69,22.5,,1773555
자동차,10,8.8,9.16,14.22,1730417
제약,62,1.92,4.53,,1495851
전기장비,14,60.61,16.91,,1342381
복합기업,17,47.64,2.65,,1333038
전기제품,11,7.84,-9.42,,1319668
우주항공과국방,8,46.43,18.71,,1294338
증권,33,8.68,8.4,,1022995
석유와가스,12,9.02,-0.77,,867426
생명보험,4,17.22,5.94,,844747
자동차부품,73,5.04,5.75,,807642
화학,72,-57.23,6.3,9.19,782786
기계,22,17.06,3.11,19.43,771913
손해보험,11,9.99,12.67,,498216
IT서비스,14,33.95,7.52,,471885
양방향미디어와서비스,3,20.04,5.08,,465285
건설,39,14.21,6.81,,432246
화장품,19,11.07,15.5,,367434
철강,36,2.75,0.72,14.9,364943
식품,52,2.07,1.16,,339051
전자제품,4,-25.4,4.36,,321015
전기유틸리티,4,60.86,11.65,,309804
비철금속,26,6.92,3.38,,291402
백화점과일반상점,12,25.79,1.63,,246847
무선통신서비스,3,31.06,4.67,,245446
게임엔터테인먼트,5,10.79,11.92,,231774
항공사,8,7.31,-83.43,,223566
해운사,8,13.42,7.94,,220672
"섬유,의류,신발,호화품",45,15.48,5.37,9.93,183173
담배,1,17.24,11.77,,181253
항공화물운송과물류,10,-3.47,6.89,,174533
에너지장비및서비스,10,-4.12,2.08,,166025
기타,25,,,,153693
다각화된통신서비스,1,8.77,10.22,,135840
무역회사와판매업체,7,12.9,84.01,,125934
방송과엔터테인먼트,8,56.12,-2.5,,104634
부동산,28,31.95,1.34,17.11,95391
가정용기기와용품,5,9.8,11.76,,92072
건축자재,31,2.17,3.84,,88251
"호텔,레스토랑,레저",10,11.26,7.07,,80597
가스유틸리티,11,5.55,7.33,,74443
운송인프라,3,6.3,10.46,,64052
카드,1,9.35,7.45,,58161
디스플레이패널,2,-67.91,3.44,,55560
상업서비스와공급품,9,13.38,9.04,,43128
소프트웨어,2,23.17,10.78,,36147
통신장비,3,41.5,8.28,,31739
광고,3,8.19,10.32,,30503
음료,9,2.38,3.71,,25465
포장재,16,-12.37,2.8,,23654
도로와철도운송,5,-4.45,-7.55,,20262
건강관리장비와용품,5,12.22,-4.92,,17712
가구,7,18.61,4.35,,14812
핸드셋,3,-11.97,4.47,,13785
인터넷과카탈로그소매,1,9.82,4.36,,10476
복합유틸리티,1,2.43,14.84,9.11,7816
디스플레이장비및부품,3,13.16,7.49,,7041
종이와목재,10,86.53,-4.28,8.97,6629
사무용전자제품,1,15.34,1.88,,3964
창업투자,1,12.79,5.99,,2741
건축제품,4,-4.05,-11.82,,2275
교육서비스,4,-2.41,-12.33,11.84,2257
출판,2,3.32,96.89,,2201
건강관리업체및서비스,1,4.39,11.08,,1854
식품과기본식료품소매,2,3.08,11.89,,1645
전문소매,1,-16.5,-0.26,,1485
레저용장비와제품,2,4.11,6.36,,1465
가정용품,2,,,,1206
판매업체,2,-18.88,-9.09,,1080
생물공학,2,,,,1013
컴퓨터와주변기기,2,,,,600
문구류,1,,,,253
