Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
012750,에스원,상업서비스와공급품,72100,6.22,-15.87,15.34,10.45,27397,◎ 극과매도(RSI 6)
000100,유한양행,제약,88000,7.41,-6.08,36.84,8.81,70090,◎ 극과매도(RSI 7)
175330,JB금융지주,은행,26350,13.93,-3.48,7.14,12.36,49605,◎ 극과매도(RSI 14)
026960,동서,식품,25200,16.42,-5.08,17.34,8.48,25124,◎ 극과매도(RSI 16)
032640,LG유플러스,무선통신서비스,15370,20.0,-6.68,12.72,6.01,66065,○ 과매도(RSI 20)
128940,한미약품,제약,430500,20.58,-12.41,32.53,14.53,55151,○ 과매도(RSI 21)
207940,삼성바이오로직스,제약,1468000,20.61,-2.39,55.25,19.44,679551,○ 과매도(RSI 21)
081660,미스토홀딩스,"섬유,의류,신발,호화품",38550,21.38,-5.51,10.3,11.39,20467,○ 과매도(RSI 21)
030200,KT,다각화된통신서비스,59500,21.84,-2.3,8.66,10.22,149953,○ 과매도(RSI 22)
035720,카카오,양방향미디어와서비스,45250,23.31,-7.37,40.77,4.59,200458,○ 과매도(RSI 23)
