Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,15872646,271500,41404687,41.36,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,11788097,1654000,5860618,28.06,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1487596,185400,9583652,28.24,,,◎ 대장주(#3)
402340,SK스퀘어,복합기업,1450223,1099000,1137814,16.53,37.82,,○ 우량주(#4)
005380,현대차,자동차,1171214,572000,2082177,16.19,8.41,,○ 우량주(#5)
034020,두산에너빌리티,기계,873725,136400,7805577,1033.33,1.11,,○ 우량주(#6)
329180,HD현대중공업,조선,727381,693000,809696,44.13,18.82,,○ 우량주(#7)
009150,삼성전기,전자장비와기기,684941,917000,689914,100.78,7.7,,△ 중대형(#8)
207940,삼성바이오로직스,제약,679551,1468000,66462,55.25,19.44,,△ 중대형(#9)
012450,한화에어로스페이스,우주항공과국방,679090,1317000,314456,46.09,19.14,,△ 중대형(#10)
