Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
017960,한국카본,조선,32150,8.92,-12.64,17.48,19.3,16614,◎ 극과매도(RSI 9)
103590,일진전기,전기장비,93200,15.72,-13.94,38.01,19.08,44443,◎ 극과매도(RSI 16)
00680K,미래에셋증권2우B,기타,16030,15.81,-10.5,,,21881,◎ 극과매도(RSI 16)
439260,대한조선,조선,62000,16.72,-11.68,8.4,32.19,23615,◎ 극과매도(RSI 17)
001440,대한전선,전기장비,47600,17.66,-13.14,181.68,5.48,93292,◎ 극과매도(RSI 18)
383220,F&F,"섬유,의류,신발,호화품",71300,18.1,-8.59,5.32,23.16,27313,◎ 극과매도(RSI 18)
112610,씨에스윈드,에너지장비및서비스,46750,18.36,-11.29,-114.86,3.02,19715,◎ 극과매도(RSI 18)
052690,한전기술,전기유틸리티,134400,18.75,-8.26,153.08,14.2,51368,◎ 극과매도(RSI 19)
000120,CJ대한통운,항공화물운송과물류,84400,18.93,-5.8,7.99,5.98,19254,◎ 극과매도(RSI 19)
017800,현대엘리베이터,기계,79300,19.06,-5.93,12.19,20.11,31000,◎ 극과매도(RSI 19)
