Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,20403512,349000,45052488,28.21,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,16841157,2363000,5602897,22.83,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1837430,229000,14857537,18.51,,,◎ 대장주(#3)
402340,SK스퀘어,복합기업,1657397,1256000,1130316,10.67,37.82,,○ 우량주(#4)
005380,현대차,자동차,1535683,750000,2720257,23.12,8.41,,○ 우량주(#5)
009150,삼성전기,전자장비와기기,1497609,2005000,1639739,189.38,7.7,,○ 우량주(#6)
032830,삼성생명,생명보험,820000,410000,669413,35.61,4.96,,○ 우량주(#7)
028260,삼성물산,복합기업,737862,455000,1005218,30.51,6.02,,△ 중대형(#8)
329180,HD현대중공업,조선,717935,684000,446190,33.8,18.82,,△ 중대형(#9)
012330,현대모비스,자동차부품,690475,761000,1822258,19.87,7.68,,△ 중대형(#10)
