섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,14,18.79,11.03,,39487582
복합기업,18,65.2,5.35,,3304317
자동차,10,18.19,9.16,13.45,2394647
전자장비와기기,21,44.55,2.71,,2183178
조선,14,-6.6,22.5,,2100947
은행,11,11.41,7.87,,1952915
전기제품,12,-2.49,-11.78,,1791613
전기장비,14,67.29,16.91,,1596797
제약,62,3.22,4.44,,1513380
우주항공과국방,8,44.43,15.63,,1353413
증권,33,8.98,8.33,,1139671
자동차부품,73,4.8,5.56,,1102779
화학,72,-76.93,5.83,8.91,982754
기계,22,18.98,3.04,17.67,968932
생명보험,4,18.54,5.94,,893078
석유와가스,11,8.88,-0.77,,875098
IT서비스,14,53.79,7.52,,836442
전자제품,4,-9.08,4.36,,642491
양방향미디어와서비스,3,24.53,5.08,,615787
건설,39,15.38,4.02,,491586
손해보험,11,7.6,12.67,,472940
철강,36,8.16,0.21,11.24,470536
화장품,19,11.58,15.5,,371932
비철금속,26,6.53,3.38,8.72,357369
식품,52,1.63,1.03,,343022
전기유틸리티,4,74.54,11.65,,327004
무선통신서비스,3,39.52,4.67,,311145
게임엔터테인먼트,5,11.2,11.92,,245352
해운사,8,14.73,7.94,,229472
백화점과일반상점,12,24.56,1.63,,212279
항공화물운송과물류,10,-3.29,6.89,,203903
항공사,8,5.65,-83.43,,196154
"섬유,의류,신발,호화품",47,18.1,4.81,11.85,192497
담배,1,18.23,11.77,,192153
기타,25,,,,177516
에너지장비및서비스,9,-2.29,6.17,,152965
무역회사와판매업체,6,9.31,97.89,,137186
다각화된통신서비스,1,8.69,10.22,,134076
방송과엔터테인먼트,8,56.63,-12.33,,110819
부동산,30,60.2,1.33,15.8,95716
건축자재,31,-21.04,3.53,,95130
가정용기기와용품,5,10.03,11.76,,88320
"호텔,레스토랑,레저",10,11.28,5.36,,86743
디스플레이패널,2,-96.93,3.44,,79510
가스유틸리티,11,5.8,7.33,,77018
운송인프라,3,5.74,10.46,,66253
카드,1,8.22,7.45,,53121
통신장비,3,57.76,8.28,,44315
상업서비스와공급품,9,13.43,9.04,,42255
소프트웨어,2,23.52,10.78,,36261
광고,3,8.37,10.32,,30527
음료,9,3.38,3.71,,26530
포장재,16,-34.04,2.12,,25141
도로와철도운송,5,-5.26,-7.55,,21238
건강관리장비와용품,5,12.7,-4.92,,19627
핸드셋,3,-12.96,4.47,,16603
가구,7,19.06,4.35,,14582
디스플레이장비및부품,3,18.58,7.49,,9593
인터넷과카탈로그소매,1,8.67,4.36,,9252
복합유틸리티,1,2.53,14.84,8.77,8128
종이와목재,10,61.89,-4.97,,7449
사무용전자제품,1,15.53,1.88,,3969
창업투자,1,20.66,5.99,,2892
교육서비스,4,-2.9,-12.33,12.05,2615
건축제품,4,-4.29,-11.82,,2331
출판,2,3.5,96.89,,2268
전문소매,2,-17.28,-0.26,,1896
식품과기본식료품소매,2,3.11,11.89,,1766
건강관리업체및서비스,1,4.05,11.08,,1729
생물공학,2,-2.16,-81.98,,1619
레저용장비와제품,2,4.52,6.36,,1567
가정용품,2,,,,1280
판매업체,2,,,,1117
컴퓨터와주변기기,2,,,,751
문구류,1,,,,253
