Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.72,36.85,7750,1395,0.051,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.66,31.51,2500,1251,0.058,◎ 매우 저평가
002990,금호건설,건설,1.95,26.79,3850,1435,0.084,◎ 매우 저평가
016880,웅진,출판,3.5,96.89,2075,1658,0.105,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.24,23.71,43950,1702,0.109,◎ 매우 저평가
136490,선진,식품,2.04,23.5,9680,2302,0.116,◎ 매우 저평가
000540,흥국화재,손해보험,1.48,18.85,3450,2216,0.149,◎ 매우 저평가
002380,KCC,건축자재,2.88,23.51,554000,47605,0.153,○ 저평가
015760,한국전력,전기유틸리티,2.85,19.4,38650,248119,0.193,○ 저평가
001450,현대해상,손해보험,3.02,20.6,34400,29325,0.196,○ 저평가
