Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
298000,효성화학,화학,0.38,260.94,38900,1475,0.007,◎ 매우 저평가
016880,웅진,출판,1.67,96.89,2525,2018,0.015,◎ 매우 저평가
019180,티에이치엔,자동차부품,2.0,36.85,7640,1375,0.044,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,2.06,31.51,3210,1607,0.058,◎ 매우 저평가
002990,금호건설,건설,2.67,26.79,4585,1708,0.087,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.56,23.71,51000,1975,0.098,◎ 매우 저평가
136490,선진,식품,2.31,23.5,11550,2747,0.105,◎ 매우 저평가
036580,팜스코,식품,2.78,23.16,3095,1137,0.129,◎ 매우 저평가
002380,KCC,건축자재,3.08,23.51,534000,47454,0.135,◎ 매우 저평가
000540,흥국화재,손해보험,1.72,18.85,4005,2573,0.149,◎ 매우 저평가
