Code,종목명,섹터,종가,5일수익률(%),20일수익률(%),거래량배수,RSI14,PER,점수,시총_억,평가
001800,오리온홀딩스,식품,28300,15.75,13.65,13.82,65.7,14.66,29.57,17729,◎ 강세
034220,LG디스플레이,디스플레이패널,14100,14.36,3.68,3.71,56.7,31.13,18.07,70500,◎ 강세
014680,한솔케미칼,화학,326000,13.99,16.01,1.6,65.6,25.09,15.59,37067,◎ 강세
088350,한화생명,생명보험,5390,12.29,10.34,2.8,61.5,7.3,15.09,46814,◎ 강세
003690,코리안리,손해보험,13130,8.42,8.33,5.27,63.4,7.94,13.69,23203,◎ 강세
018670,SK가스,가스유틸리티,290000,10.06,20.58,1.75,69.5,11.39,11.81,26846,○ 양호
018260,삼성에스디에스,IT서비스,189000,7.75,5.82,3.89,61.5,19.25,11.64,146244,○ 양호
128940,한미약품,제약,472500,8.37,-7.71,2.96,44.5,35.7,11.33,60532,○ 양호
001450,현대해상,손해보험,33350,7.41,10.8,2.85,66.7,2.92,10.26,28430,○ 양호
004370,농심,식품,399000,5.7,5.84,3.77,63.7,14.27,9.47,24270,○ 양호
