카테고리,거래수,평균수익률(%),승률(%),최대수익(%),최대손실(%),표준편차,보유기간
[D] 모멘텀,121,2.12,58.7,56.72,-29.99,10.26,5일
[E] 과매도,153,1.83,55.6,27.24,-18.43,7.14,5일
[F] 단기관심,151,3.22,57.0,56.72,-25.14,11.33,5일
