카테고리,거래수,평균수익률(%),승률(%),최대수익(%),최대손실(%),표준편차,보유기간
[D] 모멘텀,110,2.82,61.8,56.72,-29.99,11.19,5일
[E] 과매도,158,1.89,58.2,27.24,-18.43,6.84,5일
[F] 단기관심,148,3.68,57.4,56.72,-23.23,11.43,5일
