Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
298000,효성화학,화학,0.38,260.94,38900,1475,0.007,◎ 매우 저평가
016880,웅진,출판,1.52,96.89,2290,1830,0.014,◎ 매우 저평가
019180,티에이치엔,자동차부품,1.95,36.85,7450,1341,0.058,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.86,31.51,2905,1454,0.062,◎ 매우 저평가
002990,금호건설,건설,2.25,26.79,4435,1652,0.083,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.33,23.71,45700,1770,0.109,◎ 매우 저평가
136490,선진,식품,2.26,23.5,10720,2549,0.116,◎ 매우 저평가
002380,KCC,건축자재,3.1,23.51,537000,46144,0.138,◎ 매우 저평가
000540,흥국화재,손해보험,1.71,18.85,3990,2563,0.156,○ 저평가
036580,팜스코,식품,3.31,23.16,2825,1038,0.158,○ 저평가
