Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
013520,화승코퍼레이션,자동차부품,1.61,31.51,2425,1214,0.057,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",1.94,23.71,38150,1477,0.099,◎ 매우 저평가
016880,웅진,출판,3.41,96.89,2025,1619,0.103,◎ 매우 저평가
002380,KCC,건축자재,2.03,23.51,391000,33598,0.117,◎ 매우 저평가
136490,선진,식품,2.0,23.5,9490,2257,0.117,◎ 매우 저평가
036580,팜스코,식품,3.24,23.16,2765,1016,0.177,○ 저평가
015760,한국전력,전기유틸리티,2.43,19.4,33000,211848,0.188,○ 저평가
001450,현대해상,손해보험,3.12,20.6,36700,31286,0.199,○ 저평가
096760,JW홀딩스,제약,4.02,23.57,3755,2776,0.241,○ 저평가
023590,다우기술,증권,2.55,15.95,34900,15107,0.259,○ 저평가
