Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,14264920,244000,26804038,19.72,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,12572070,1764000,5876444,17.04,44.15,,◎ 대장주(#2)
402340,SK스퀘어,반도체와반도체장비,1553150,1177000,738526,9.99,37.82,,◎ 대장주(#3)
005935,삼성전자우,반도체와반도체장비,1357612,169200,4674224,13.68,,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,952345,1275000,965749,120.43,7.7,,○ 우량주(#5)
005380,현대차,자동차,816983,399000,904770,12.3,8.41,,○ 우량주(#6)
207940,삼성바이오로직스,제약,622613,1345000,40527,43.7,19.44,,○ 우량주(#7)
032830,삼성생명,생명보험,603000,301500,567164,21.0,4.96,,△ 중대형(#8)
105560,KB금융,은행,598713,168800,1831119,10.67,9.98,,△ 중대형(#9)
000270,기아,자동차,546578,140000,876708,7.88,12.92,,△ 중대형(#10)
