Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
069960,현대백화점,백화점과일반상점,136400,8.3,-18.37,14.84,4.64,29415,◎ 극과매도(RSI 8)
307950,현대오토에버,IT서비스,371500,15.99,-17.81,56.35,10.27,101880,◎ 극과매도(RSI 16)
011170,롯데케미칼,화학,57600,19.14,-6.8,-1.37,-15.13,24639,◎ 극과매도(RSI 19)
454910,두산로보틱스,기계,61800,19.21,-17.05,-72.54,-14.78,40059,◎ 극과매도(RSI 19)
003670,포스코퓨처엠,화학,136800,19.32,-9.88,-829.09,0.92,121678,◎ 극과매도(RSI 19)
036570,NC,게임엔터테인먼트,210500,19.5,-15.29,9.91,10.79,45350,◎ 극과매도(RSI 20)
329180,HD현대중공업,조선,448500,19.79,-11.01,22.16,18.82,470751,◎ 극과매도(RSI 20)
450080,에코프로머티,전기제품,33400,20.04,-12.34,55.3,2.56,23652,○ 과매도(RSI 20)
457190,이수스페셜티케미컬,화학,53800,20.06,-14.74,-1454.05,0.61,16258,○ 과매도(RSI 20)
011070,LG이노텍,전자장비와기기,602000,21.07,-18.87,29.39,6.14,142476,○ 과매도(RSI 21)
