카테고리,거래수,평균수익률(%),승률(%),최대수익(%),최대손실(%),표준편차,보유기간
[D] 모멘텀,104,0.94,50.0,43.02,-26.89,10.06,5일
[E] 과매도,226,0.59,51.8,34.31,-19.03,7.88,5일
[F] 단기관심,133,0.13,45.1,43.02,-26.89,10.72,5일
