Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
009155,삼성전기우,전자장비와기기,565000,11.33,-18.71,53.37,,16424,◎ 극과매도(RSI 11)
011070,LG이노텍,전자장비와기기,742000,12.84,-14.91,36.22,6.14,175610,◎ 극과매도(RSI 13)
307950,현대오토에버,IT서비스,452000,17.18,-10.5,68.56,10.27,123956,◎ 극과매도(RSI 17)
489790,한화비전,통신장비,45300,21.43,-11.0,67.21,5.4,22871,○ 과매도(RSI 21)
005380,현대차,자동차,457500,22.0,-7.01,14.1,8.41,936767,○ 과매도(RSI 22)
007810,코리아써키트,전자장비와기기,73800,22.35,-7.98,28.36,11.54,17699,○ 과매도(RSI 22)
069960,현대백화점,백화점과일반상점,167100,22.37,-6.86,18.18,4.64,36035,○ 과매도(RSI 22)
000990,DB하이텍,반도체와반도체장비,121900,22.78,0.99,18.07,12.52,53032,○ 과매도(RSI 23)
329180,HD현대중공업,조선,504000,23.17,-12.65,24.9,18.82,529005,○ 과매도(RSI 23)
064400,LG씨엔에스,IT서비스,71100,23.56,-4.18,14.92,17.35,68886,○ 과매도(RSI 24)
