Code,종목명,섹터,종가,MA5,MA20,거래량배수,5일수익률(%),시총_억,평가
042700,한미반도체,반도체와반도체장비,295000,321100.0,304425.0,2.87,-18.28,281171,○ 양호(거래량 2.9배)
010120,LS ELECTRIC,전기장비,259000,254200.0,247425.0,2.32,16.4,388500,○ 양호(거래량 2.3배)
052690,한전기술,전기유틸리티,123700,133060.0,132670.0,2.18,-18.24,47278,○ 양호(거래량 2.2배)
028260,삼성물산,복합기업,491500,491800.0,448725.0,2.06,13.77,797054,○ 양호(거래량 2.1배)
012450,한화에어로스페이스,우주항공과국방,1122000,1160400.0,1132450.0,1.85,4.08,578541,△ 보통(거래량 1.9배)
034730,SK,석유와가스,724000,687600.0,643150.0,1.74,22.09,524920,△ 보통(거래량 1.7배)
062040,산일전기,전기장비,235500,246600.0,242650.0,1.69,1.73,72100,△ 보통(거래량 1.7배)
028050,삼성E&A,건설,48650,51930.0,50137.5,1.57,2.21,95354,△ 보통(거래량 1.6배)
086280,현대글로비스,항공화물운송과물류,222500,218600.0,218425.0,1.57,6.71,166875,△ 보통(거래량 1.6배)
298040,효성중공업,전기장비,3855000,3809400.0,3639050.0,1.57,14.19,359461,△ 보통(거래량 1.6배)
