Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,20695826,354000,43284898,28.61,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,19699093,2764000,7478195,26.7,44.15,,◎ 대장주(#2)
402340,SK스퀘어,반도체와반도체장비,2348859,1780000,1516850,15.12,37.82,,◎ 대장주(#3)
005935,삼성전자우,반도체와반도체장비,1781264,222000,6191703,17.94,,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,1695547,2270000,1728303,214.41,7.7,,○ 우량주(#5)
005380,현대차,자동차,1255165,613000,1831967,18.9,8.41,,○ 우량주(#6)
032830,삼성생명,생명보험,994000,497000,681949,34.62,4.96,,○ 우량주(#7)
028260,삼성물산,복합기업,797054,491500,1429057,32.96,6.02,,△ 중대형(#8)
329180,HD현대중공업,조선,700091,667000,542683,32.96,18.82,,△ 중대형(#9)
207940,삼성바이오로직스,제약,636038,1374000,99207,44.64,19.44,,△ 중대형(#10)
