카테고리,거래수,평균수익률(%),승률(%),최대수익(%),최대손실(%),표준편차,보유기간
[D] 모멘텀,108,0.88,50.9,43.02,-26.89,10.08,5일
[E] 과매도,201,1.8,58.2,34.31,-18.97,7.73,5일
[F] 단기관심,141,0.06,46.1,43.02,-26.89,10.64,5일
