Code,종목명,섹터,종가,5일수익률(%),20일수익률(%),거래량배수,RSI14,PER,점수,시총_억,평가
009155,삼성전기우,전자장비와기기,809000,44.98,111.78,3.76,53.0,76.41,48.75,23518,◎ 강세
034730,SK,석유와가스,724000,22.09,37.64,1.74,56.7,20.12,23.83,524920,◎ 강세
010120,LS ELECTRIC,전기장비,259000,16.4,8.6,2.32,54.5,115.21,18.73,388500,◎ 강세
028260,삼성물산,복합기업,491500,13.77,32.66,2.06,57.8,32.96,15.83,797054,◎ 강세
298040,효성중공업,전기장비,3855000,14.19,8.01,1.57,53.8,71.18,15.75,359461,◎ 강세
042660,한화오션,조선,128400,13.93,16.2,1.56,53.3,25.71,15.49,393435,◎ 강세
462870,시프트업,게임엔터테인먼트,33300,3.58,16.64,5.62,68.0,10.21,9.2,19532,○ 양호
086280,현대글로비스,항공화물운송과물류,222500,6.71,5.7,1.57,40.6,9.96,8.29,166875,○ 양호
207940,삼성바이오로직스,제약,1374000,6.1,2.77,1.52,51.3,44.64,7.62,636038,△ 보통
