섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,15.48,14.27,,28693171
은행,11,10.96,7.87,,2088175
조선,14,-1.0,22.5,,1579133
제약,62,3.53,3.12,,1514970
자동차,10,7.98,9.16,15.89,1443953
전기제품,11,3.4,-9.42,,1188678
전자장비와기기,20,25.57,0.59,,1130830
우주항공과국방,8,40.92,18.71,,1119017
복합기업,17,42.6,2.65,,1097144
전기장비,14,46.62,16.91,,1090739
증권,33,7.76,8.4,,907237
석유와가스,12,7.6,-0.77,,812531
자동차부품,73,4.62,5.66,,794516
화학,72,-46.01,5.75,9.34,718082
기계,22,15.25,3.11,20.25,683159
생명보험,4,13.99,5.94,,626751
양방향미디어와서비스,3,21.93,5.08,,524687
손해보험,11,9.95,12.67,,492968
IT서비스,14,33.37,7.52,,463169
건설,39,13.39,7.26,,402091
화장품,19,12.38,15.5,,378542
철강,36,3.38,0.72,16.19,360150
식품,52,2.17,1.25,,348375
전기유틸리티,4,57.68,11.65,,287717
전자제품,4,-27.99,4.36,,281282
비철금속,26,6.58,3.38,8.88,276483
무선통신서비스,3,32.82,4.67,,259954
해운사,8,13.47,7.94,,244115
게임엔터테인먼트,5,10.43,11.92,,226022
항공사,8,6.49,-83.43,,202924
백화점과일반상점,12,20.49,1.63,,187596
담배,1,17.29,11.77,,182291
"섬유,의류,신발,호화품",45,15.0,5.45,11.51,177489
항공화물운송과물류,10,-1.7,7.48,,177269
에너지장비및서비스,10,-0.89,2.08,,139884
기타,25,,,,138428
무역회사와판매업체,7,13.94,84.01,,135793
다각화된통신서비스,1,8.54,10.22,,131807
부동산,28,31.05,1.34,17.58,95096
방송과엔터테인먼트,8,51.58,-2.5,,94581
가정용기기와용품,5,9.68,11.76,,91828
건축자재,31,2.1,3.84,,80038
가스유틸리티,11,5.59,7.33,,74531
"호텔,레스토랑,레저",10,9.23,5.36,,73915
운송인프라,3,6.42,10.46,,63293
카드,1,8.73,7.45,,53932
디스플레이패널,2,-58.47,3.44,,48205
상업서비스와공급품,9,13.42,9.04,,43062
광고,3,8.03,10.32,,30210
통신장비,3,36.82,8.28,,28685
음료,9,2.72,3.71,,25564
포장재,16,-24.9,2.12,,23785
도로와철도운송,5,-8.83,-10.84,,22806
건강관리장비와용품,5,12.4,-4.92,,17738
가구,7,19.03,4.35,,16145
핸드셋,3,-11.53,4.47,,12665
복합유틸리티,1,2.31,14.84,9.59,7434
종이와목재,10,71.88,-4.03,,6820
디스플레이장비및부품,3,11.7,7.49,,6363
사무용전자제품,1,15.17,1.88,,3877
창업투자,1,14.24,5.99,,3071
출판,2,3.45,96.89,,2273
건축제품,4,0.49,-1.76,,2250
교육서비스,4,-2.3,-12.33,14.13,2182
건강관리업체및서비스,1,4.74,11.08,,2022
식품과기본식료품소매,2,3.13,11.89,,1639
전문소매,1,-16.68,-0.26,,1509
레저용장비와제품,2,3.97,6.36,,1418
가정용품,2,,,,1203
소프트웨어,1,9.26,5.56,,1158
생물공학,2,,,,1020
판매업체,2,,,,1001
컴퓨터와주변기기,2,,,,592
문구류,1,,,,305
