Code,종목명,섹터,종가,5일수익률(%),20일수익률(%),거래량배수,RSI14,PER,점수,시총_억,평가
181710,NHN,IT서비스,43700,20.89,18.11,3.49,59.9,24.55,24.37,14313,◎ 강세
322000,HD현대에너지솔루션,에너지장비및서비스,129000,15.49,9.79,1.58,55.2,22.22,17.07,14448,◎ 강세
475150,SK이터닉스,에너지장비및서비스,55800,14.58,30.07,1.81,54.0,76.54,16.39,19009,◎ 강세
006360,GS건설,건설,28750,12.75,-6.05,1.85,51.2,37.73,14.59,24605,◎ 강세
028670,팬오션,해운사,5640,11.46,14.17,3.1,59.6,9.31,14.56,30150,◎ 강세
017670,SK텔레콤,무선통신서비스,91400,11.19,6.03,1.63,56.1,53.58,12.83,196318,◎ 강세
035420,NAVER,양방향미디어와서비스,226500,7.86,15.21,1.87,65.7,19.66,9.73,355479,○ 양호
377300,카카오페이,IT서비스,43800,4.41,10.33,2.54,63.3,97.99,6.95,59248,△ 보통
267270,HD건설기계,기계,127100,3.5,2.75,1.51,52.7,12.95,5.01,60909,△ 보통
