Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,14031069,240000,29433821,19.4,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,11519865,1577000,5391210,15.23,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1415383,176400,2553102,14.26,,,◎ 대장주(#3)
402340,SK스퀘어,반도체와반도체장비,1398759,1060000,984406,9.0,37.82,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,885120,1185000,982295,111.93,7.7,,○ 우량주(#5)
005380,현대차,자동차,803674,392500,680354,12.1,8.41,,○ 우량주(#6)
207940,삼성바이오로직스,제약,683254,1476000,51711,47.95,19.44,,○ 우량주(#7)
105560,KB금융,은행,598713,168800,743858,10.67,9.98,,△ 중대형(#8)
032830,삼성생명,생명보험,556000,278000,691982,19.36,4.96,,△ 중대형(#9)
028260,삼성물산,복합기업,522990,322500,485793,21.63,6.02,,△ 중대형(#10)
