Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.29,36.85,5800,1044,0.035,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.72,31.51,2590,1296,0.06,◎ 매우 저평가
016880,웅진,출판,3.45,96.89,2045,1635,0.099,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",1.94,23.71,38150,1477,0.099,◎ 매우 저평가
002380,KCC,건축자재,2.06,23.51,396500,34071,0.111,◎ 매우 저평가
136490,선진,식품,2.06,23.5,9790,2328,0.114,◎ 매우 저평가
015760,한국전력,전기유틸리티,2.59,19.4,35150,225650,0.187,○ 저평가
001450,현대해상,손해보험,3.13,20.6,36800,31371,0.19,○ 저평가
096760,JW홀딩스,제약,4.07,23.57,3800,2809,0.232,○ 저평가
023590,다우기술,증권,2.81,15.95,38500,16666,0.254,○ 저평가
