섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,14,18.85,11.03,,34187663
복합기업,18,49.6,5.35,,2921289
자동차,10,9.79,9.16,14.18,2017217
은행,11,11.92,7.87,,1996431
조선,14,-10.25,22.5,,1938631
전자장비와기기,21,38.63,2.71,,1876550
전기제품,12,1.07,-11.78,,1471855
전기장비,14,56.93,16.91,,1411539
제약,62,3.31,4.44,,1379837
우주항공과국방,8,47.47,18.71,,1230422
증권,33,8.32,8.33,,1047343
자동차부품,73,4.72,5.67,10.04,901943
화학,72,-63.62,5.75,9.28,881753
기계,22,17.53,3.11,18.41,839853
생명보험,4,20.62,5.94,,819908
석유와가스,11,8.65,-0.77,,802817
IT서비스,14,40.07,7.52,,578564
양방향미디어와서비스,3,21.62,5.08,,525822
손해보험,11,10.02,12.67,,483976
건설,39,13.79,6.92,,455239
철강,36,3.74,0.21,13.41,416741
전자제품,4,-21.31,4.36,,379359
화장품,19,11.22,15.5,,361726
식품,52,2.04,1.16,,336993
비철금속,26,6.27,3.38,8.9,311078
전기유틸리티,4,66.67,11.65,,304212
무선통신서비스,3,36.93,4.67,,289996
백화점과일반상점,12,26.78,1.63,,254265
게임엔터테인먼트,5,10.7,11.92,,228344
해운사,8,13.67,7.94,,215275
항공사,8,6.14,-83.43,,196112
"섬유,의류,신발,호화품",47,17.22,5.19,11.64,194153
담배,1,18.23,11.77,,192153
항공화물운송과물류,10,-3.32,6.89,,174768
기타,25,,,,155367
다각화된통신서비스,1,9.13,10.22,,140880
에너지장비및서비스,9,-0.3,6.17,,140729
무역회사와판매업체,6,8.85,97.89,,130188
방송과엔터테인먼트,8,50.7,-12.33,,105083
부동산,29,23.96,1.4,16.65,94540
가정용기기와용품,5,9.72,11.76,,89706
"호텔,레스토랑,레저",10,12.06,5.36,,89183
건축자재,31,-19.36,3.53,,88120
가스유틸리티,11,5.67,7.33,,75773
운송인프라,3,5.17,10.46,,65641
디스플레이패널,2,-79.2,3.44,,65060
카드,1,8.29,7.45,,53527
상업서비스와공급품,9,13.41,9.04,,42728
통신장비,3,55.0,8.28,,41979
소프트웨어,2,23.47,10.78,,36223
광고,3,8.37,10.32,,30369
음료,9,3.2,3.71,,26082
포장재,16,-30.77,2.12,,24163
도로와철도운송,5,-4.3,-7.55,,20793
건강관리장비와용품,5,12.58,-4.92,,18995
핸드셋,3,-12.22,4.47,,15176
가구,7,19.21,4.35,,14890
인터넷과카탈로그소매,1,8.82,4.36,,9408
디스플레이장비및부품,3,16.18,7.49,,8384
복합유틸리티,1,2.47,14.84,8.98,7943
종이와목재,10,61.39,-4.97,8.58,6989
사무용전자제품,1,16.02,1.88,,4095
창업투자,1,19.22,5.99,,2691
교육서비스,4,-2.94,-12.33,13.09,2541
건축제품,4,-3.97,-11.82,,2239
출판,2,3.22,96.89,,2180
전문소매,2,-17.34,-0.26,,1884
건강관리업체및서비스,1,4.02,11.08,,1715
식품과기본식료품소매,2,3.04,11.89,,1696
레저용장비와제품,2,4.49,6.36,,1523
생물공학,2,-1.72,-81.98,,1341
가정용품,2,,,,1230
판매업체,2,,,,1032
컴퓨터와주변기기,2,,,,702
문구류,1,,,,248
