Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,17684993,302500,27050362,24.45,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,14596144,2048000,4928269,19.78,44.15,,◎ 대장주(#2)
402340,SK스퀘어,복합기업,1561068,1183000,771257,10.05,37.82,,◎ 대장주(#3)
005935,삼성전자우,반도체와반도체장비,1536541,191500,4619371,15.48,,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,1348221,1805000,1295394,170.49,7.7,,○ 우량주(#5)
005380,현대차,자동차,1232642,602000,1682688,18.56,8.41,,○ 우량주(#6)
032830,삼성생명,생명보험,736000,368000,679195,31.96,4.96,,○ 우량주(#7)
329180,HD현대중공업,조선,672801,641000,456793,31.67,18.82,,△ 중대형(#8)
028260,삼성물산,복합기업,660833,407500,631317,27.33,6.02,,△ 중대형(#9)
000270,기아,자동차,623490,159700,1920797,8.99,12.92,,△ 중대형(#10)
