Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.56,36.85,7050,1269,0.04,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.74,31.51,2625,1314,0.062,◎ 매우 저평가
002990,금호건설,건설,2.24,26.79,4410,1643,0.092,◎ 매우 저평가
016880,웅진,출판,3.53,96.89,2095,1674,0.101,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.2,23.71,43200,1673,0.105,◎ 매우 저평가
136490,선진,식품,1.97,23.5,9360,2226,0.109,◎ 매우 저평가
002380,KCC,건축자재,2.77,23.51,533000,45800,0.138,◎ 매우 저평가
001450,현대해상,손해보험,3.38,20.6,39750,33886,0.205,○ 저평가
015760,한국전력,전기유틸리티,2.9,19.4,39350,252613,0.205,○ 저평가
096760,JW홀딩스,제약,4.16,23.57,3885,2872,0.239,○ 저평가
