Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,21192760,362500,32764450,29.3,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,19136059,2685000,5808765,25.94,44.15,,◎ 대장주(#2)
402340,SK스퀘어,반도체와반도체장비,2243293,1700000,1177611,14.44,37.82,,◎ 대장주(#3)
005935,삼성전자우,반도체와반도체장비,1833418,228500,5115717,18.47,,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,1643261,2200000,1621006,207.8,7.7,,○ 우량주(#5)
005380,현대차,자동차,1230594,601000,928129,18.53,8.41,,○ 우량주(#6)
032830,삼성생명,생명보험,938000,469000,558690,32.67,4.96,,○ 우량주(#7)
028260,삼성물산,복합기업,787324,485500,431143,32.56,6.02,,△ 중대형(#8)
329180,HD현대중공업,조선,717935,684000,361327,33.8,18.82,,△ 중대형(#9)
207940,삼성바이오로직스,제약,661961,1430000,113690,46.46,19.44,,△ 중대형(#10)
