Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
017960,한국카본,조선,34800,8.89,-4.0,18.92,19.3,17983,◎ 극과매도(RSI 9)
00680K,미래에셋증권2우B,기타,16980,14.77,-6.24,,,23178,◎ 극과매도(RSI 15)
066970,엘앤에프,전기제품,149700,14.96,-4.65,-11.67,-76.95,60562,◎ 극과매도(RSI 15)
112610,씨에스윈드,에너지장비및서비스,49900,15.16,-2.92,-122.6,3.02,21044,◎ 극과매도(RSI 15)
439260,대한조선,조선,67500,16.78,0.3,9.15,32.19,25710,◎ 극과매도(RSI 17)
047050,포스코인터내셔널,무역회사와판매업체,65600,18.75,-7.08,18.79,9.27,115405,◎ 극과매도(RSI 19)
096770,SK이노베이션,석유와가스,115400,18.76,-3.51,-8.75,-14.42,195087,◎ 극과매도(RSI 19)
103590,일진전기,전기장비,99700,18.89,-5.05,40.66,19.08,47542,◎ 극과매도(RSI 19)
071970,HD현대마린엔진,조선,76800,18.93,2.81,14.52,41.36,26052,◎ 극과매도(RSI 19)
373220,LG에너지솔루션,전기제품,383500,19.12,-4.13,-55.98,-5.19,897390,◎ 극과매도(RSI 19)
