Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,2.05,36.85,9220,1660,0.05,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.81,31.51,2740,1371,0.061,◎ 매우 저평가
002990,금호건설,건설,2.06,26.79,4055,1511,0.081,◎ 매우 저평가
016880,웅진,출판,3.65,96.89,2165,1730,0.094,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.24,23.71,43900,1700,0.108,◎ 매우 저평가
136490,선진,식품,2.1,23.5,9960,2368,0.115,◎ 매우 저평가
002380,KCC,건축자재,2.94,23.51,567000,48722,0.137,◎ 매우 저평가
000540,흥국화재,손해보험,1.61,18.85,3750,2409,0.147,◎ 매우 저평가
015760,한국전력,전기유틸리티,2.91,19.4,39500,253576,0.183,○ 저평가
001450,현대해상,손해보험,3.16,20.6,36050,30732,0.187,○ 저평가
