섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,14,19.46,11.03,,35919408
복합기업,18,55.08,5.35,,3113420
조선,14,-13.33,20.72,,2262558
자동차,10,18.17,9.16,12.75,2220468
은행,11,11.72,7.87,,1996574
전자장비와기기,21,40.99,2.71,,1768834
전기장비,14,71.08,16.91,,1620201
전기제품,12,5.47,-11.78,,1617428
제약,62,1.34,3.43,,1540376
우주항공과국방,8,47.46,15.63,,1441593
증권,33,9.41,8.33,,1167094
자동차부품,73,5.3,5.67,,1036466
화학,72,40.56,5.75,8.61,980046
기계,22,21.89,3.04,17.25,968772
석유와가스,11,9.06,-0.77,,896713
생명보험,4,17.56,5.94,,785850
IT서비스,14,41.2,9.05,,644168
건설,39,16.24,4.02,,515938
양방향미디어와서비스,3,22.25,5.08,,492181
철강,36,8.57,0.21,9.94,491359
손해보험,11,8.21,12.67,,469573
전자제품,4,-21.0,4.36,,398044
비철금속,26,6.92,3.38,8.57,367156
화장품,19,11.42,15.5,,363337
식품,52,1.74,1.03,,355442
전기유틸리티,4,78.14,11.65,,336027
무선통신서비스,3,35.54,4.67,,281253
게임엔터테인먼트,5,10.96,11.92,,242139
해운사,8,10.49,8.06,,233398
백화점과일반상점,12,25.38,1.63,,216076
항공사,8,2.82,-83.43,,202558
항공화물운송과물류,10,-3.61,6.89,,202411
"섬유,의류,신발,호화품",47,18.33,4.81,11.6,201021
담배,1,17.7,11.77,,186547
기타,25,,,,180394
에너지장비및서비스,9,0.0,6.17,,160428
무역회사와판매업체,6,10.14,97.89,,146589
다각화된통신서비스,1,8.72,10.22,,134580
방송과엔터테인먼트,8,50.99,-12.33,,118080
부동산,30,61.65,1.33,15.32,104060
건축자재,31,-22.78,3.53,,99109
가정용기기와용품,5,10.22,11.76,,89916
"호텔,레스토랑,레저",10,11.36,5.36,,88617
가스유틸리티,11,6.04,7.33,,81145
디스플레이패널,2,-86.69,3.44,,71160
운송인프라,3,6.21,10.46,,68035
카드,1,8.4,7.45,,54280
통신장비,3,56.8,8.28,,44562
상업서비스와공급품,9,6.48,9.04,,41782
소프트웨어,2,23.7,10.78,,39104
광고,3,8.35,10.32,,30406
음료,9,3.11,3.71,,27280
포장재,16,-37.09,2.12,,26677
도로와철도운송,5,-5.37,-7.55,,22138
건강관리장비와용품,5,14.96,-4.92,,20835
핸드셋,3,-13.42,4.47,,16849
가구,7,19.85,4.35,,14755
디스플레이장비및부품,3,19.25,7.49,,9970
인터넷과카탈로그소매,1,8.98,4.36,,9576
종이와목재,10,63.84,-4.97,,8229
복합유틸리티,1,2.53,14.84,8.76,8140
사무용전자제품,1,16.46,1.88,,4207
창업투자,1,22.77,5.99,,3187
교육서비스,4,-4.6,-10.34,10.01,2851
건축제품,4,-4.74,-11.82,,2564
출판,2,3.65,96.89,,2406
전문소매,2,-17.94,-0.26,,1983
식품과기본식료품소매,2,3.19,11.89,,1839
건강관리업체및서비스,1,6.08,11.08,,1776
생물공학,2,-2.21,-81.98,,1643
레저용장비와제품,2,4.45,6.36,,1581
가정용품,2,,,,1428
판매업체,2,-21.25,-9.09,,1218
컴퓨터와주변기기,2,,,,743
문구류,1,,,,276
