Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,18386546,314500,24968382,25.42,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,18245181,2560000,4277276,24.73,44.15,,◎ 대장주(#2)
402340,SK스퀘어,반도체와반도체장비,2318509,1757000,1812864,14.92,37.82,,◎ 대장주(#3)
009150,삼성전기,전자장비와기기,1646996,2205000,989538,208.27,7.7,,○ 우량주(#4)
005935,삼성전자우,반도체와반도체장비,1640849,204500,3277078,16.53,,,○ 우량주(#5)
005380,현대차,자동차,998194,487500,848321,15.03,8.41,,○ 우량주(#6)
032830,삼성생명,생명보험,774000,387000,468913,26.96,4.96,,○ 우량주(#7)
028260,삼성물산,복합기업,703807,434000,870586,29.1,6.02,,△ 중대형(#8)
207940,삼성바이오로직스,제약,646222,1396000,39712,45.36,19.44,,△ 중대형(#9)
329180,HD현대중공업,조선,645512,615000,297110,30.39,18.82,,△ 중대형(#10)
