섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,21.42,14.27,,41039132
전자장비와기기,20,40.93,0.59,,2044639
은행,11,10.86,7.87,,1967542
조선,14,0.8,22.5,,1819919
자동차,10,8.79,9.16,13.97,1699641
전기장비,14,66.73,16.91,,1506891
제약,62,1.21,4.53,,1459071
복합기업,17,50.86,2.65,,1364993
전기제품,11,10.99,-9.42,,1323204
우주항공과국방,8,45.76,18.71,,1241134
증권,33,8.54,8.33,,994742
석유와가스,12,9.21,-0.77,,926740
생명보험,4,17.18,5.94,,851084
화학,72,-61.87,6.33,9.6,811387
자동차부품,73,5.01,5.75,,803267
기계,22,16.75,3.12,19.32,799950
IT서비스,14,35.0,7.52,,487009
손해보험,11,9.89,12.67,,477759
양방향미디어와서비스,3,19.99,5.08,,465112
건설,39,14.83,4.8,,454323
화장품,19,11.2,15.5,,372536
철강,36,2.29,1.12,14.26,363708
식품,52,2.1,1.16,,335840
전자제품,4,-25.46,4.36,,328262
전기유틸리티,4,64.89,11.65,,309625
비철금속,26,6.9,3.38,,287718
백화점과일반상점,12,27.0,1.63,,257329
무선통신서비스,3,31.68,4.67,,250819
게임엔터테인먼트,5,10.8,11.92,,233258
해운사,8,14.16,7.94,,215445
항공사,8,6.71,-83.43,,212995
에너지장비및서비스,10,-2.92,2.08,,183589
항공화물운송과물류,10,-3.44,6.89,,175317
담배,1,16.45,11.77,,173467
"섬유,의류,신발,호화품",45,15.6,4.98,12.02,173411
기타,25,,,,156456
다각화된통신서비스,1,8.77,10.22,,135336
무역회사와판매업체,7,13.27,84.01,,129679
방송과엔터테인먼트,8,54.62,-2.5,,103766
부동산,28,32.16,1.34,17.11,95524
가정용기기와용품,5,7.26,13.41,,91668
건축자재,31,2.99,3.22,,88270
"호텔,레스토랑,레저",10,11.27,7.07,,80398
가스유틸리티,11,5.49,7.33,,72722
운송인프라,3,6.16,10.46,,63160
디스플레이패널,2,-68.4,3.44,,56260
카드,1,8.85,7.45,,54685
상업서비스와공급품,9,13.36,9.04,,42795
소프트웨어,2,23.28,10.78,,36176
통신장비,3,44.72,8.28,,34296
광고,3,8.04,10.32,,29501
음료,9,2.47,3.71,,25014
포장재,16,-12.55,2.8,,23883
도로와철도운송,5,-4.54,-7.55,,21174
건강관리장비와용품,5,12.37,-4.92,,17698
가구,7,18.19,4.35,,14589
핸드셋,3,-13.61,4.47,,14118
인터넷과카탈로그소매,1,9.82,4.36,,10476
디스플레이장비및부품,3,-108.88,-3.54,,7753
복합유틸리티,1,2.35,14.84,9.41,7572
종이와목재,10,84.55,-4.28,9.12,6582
사무용전자제품,1,14.94,1.88,,3818
창업투자,1,12.54,5.99,,2702
건축제품,4,-4.04,-11.82,,2303
출판,2,3.46,96.89,,2279
교육서비스,4,,,12.34,2270
건강관리업체및서비스,1,4.07,11.08,,1735
식품과기본식료품소매,2,3.03,11.89,,1621
전문소매,1,-16.45,-0.26,,1487
레저용장비와제품,2,4.18,6.36,,1479
가정용품,2,,,,1214
판매업체,2,-19.41,-9.09,,1124
생물공학,2,,,,1008
컴퓨터와주변기기,2,,,,627
문구류,1,,,,238
