Code,종목명,매수일,매도일,매수가,매도가,수익률(%)
454910,두산로보틱스,2026-01-16,2026-01-23,90400,114100,26.22
454910,두산로보틱스,2026-02-25,2026-03-05,107300,90600,-15.56
454910,두산로보틱스,2026-04-09,2026-04-16,91500,94100,2.84
103590,일진전기,2026-01-30,2026-02-06,67000,63700,-4.93
010060,OCI홀딩스,2025-12-16,2025-12-23,105200,121900,15.87
010060,OCI홀딩스,2026-01-23,2026-01-30,123600,115400,-6.63
010060,OCI홀딩스,2026-02-06,2026-02-13,151100,150600,-0.33
010060,OCI홀딩스,2026-03-12,2026-03-19,165800,198200,19.54
010060,OCI홀딩스,2026-04-02,2026-04-09,205000,200000,-2.44
001040,CJ,2025-11-18,2025-11-25,178100,174500,-2.02
001040,CJ,2026-01-09,2026-01-16,179200,187200,4.46
