Code,종목명,섹터,DIV,DPS,PER,ROE,종가,시총_억,평가
134380,미원화학,화학,34.91,4500.0,11.47,14.72,12890,2835,◎ 초고배당(34.9%)
015360,INVENI,가스유틸리티,33.31,5400.0,5.53,15.46,16210,4417,◎ 초고배당(33.3%)
348950,제이알글로벌리츠,부동산,19.46,230.0,14.41,1.35,1182,2333,◎ 초고배당(19.5%)
432320,KB스타리츠,부동산,15.45,312.0,-2.81,-30.49,2020,2049,◎ 초고배당(15.4%)
017800,현대엘리베이터,기계,14.0,14010.0,14.93,20.11,100100,39131,◎ 초고배당(14.0%)
058430,포스코스틸리온,비철금속,13.38,1085.0,28.56,4.45,8110,4866,◎ 초고배당(13.4%)
381970,케이카,자동차,11.11,1200.0,10.29,22.63,10800,5273,◎ 초고배당(11.1%)
016450,한세예스24홀딩스,"섬유,의류,신발,호화품",11.11,500.0,-5.44,-6.86,4500,1800,◎ 초고배당(11.1%)
400760,NH올원리츠,부동산,9.68,316.0,116.79,0.72,3270,1796,◎ 초고배당(9.7%)
334890,이지스밸류플러스리츠,부동산,8.35,340.0,11.01,3.15,4075,2830,◎ 초고배당(8.3%)
