Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,13592598,232500,32920816,35.42,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,10312803,1447000,5776641,24.54,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1360822,169600,4403269,25.84,,,◎ 대장주(#3)
402340,SK스퀘어,복합기업,1307708,991000,1472464,14.91,37.82,,○ 우량주(#4)
005380,현대차,자동차,1103644,539000,854165,15.26,8.41,,○ 우량주(#5)
034020,두산에너빌리티,기계,814794,127200,3214565,963.64,1.11,,○ 우량주(#6)
012450,한화에어로스페이스,우주항공과국방,755404,1465000,450389,51.27,19.14,,○ 우량주(#7)
329180,HD현대중공업,조선,713736,680000,426626,43.31,18.82,,△ 중대형(#8)
207940,삼성바이오로직스,제약,687421,1485000,91513,55.89,19.44,,△ 중대형(#9)
009150,삼성전기,전자장비와기기,685688,918000,866674,100.89,7.7,,△ 중대형(#10)
