카테고리,거래수,평균수익률(%),승률(%),최대수익(%),최대손실(%),표준편차,보유기간
[D] 모멘텀,127,2.68,61.4,36.32,-22.11,9.77,5일
[E] 과매도,185,2.39,63.8,24.68,-11.54,5.97,5일
[F] 단기관심,153,3.16,58.8,37.82,-22.11,9.99,5일
