Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,15024936,257000,32451940,11.53,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,12206527,1671000,3994599,7.45,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1518889,189300,6649166,8.49,,,◎ 대장주(#3)
402340,SK스퀘어,반도체와반도체장비,1419502,1076000,458531,4.33,37.82,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,984463,1318000,501168,101.51,7.7,,○ 우량주(#5)
005380,현대차,자동차,847697,414000,349740,13.49,8.41,,○ 우량주(#6)
207940,삼성바이오로직스,제약,728157,1573000,32870,43.45,19.44,,○ 우량주(#7)
028260,삼성물산,복합기업,591101,364500,492551,22.06,6.02,,△ 중대형(#8)
105560,KB금융,은행,578496,163100,630055,10.31,9.98,,△ 중대형(#9)
032830,삼성생명,생명보험,571000,285500,714630,19.89,4.96,,△ 중대형(#10)
