섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,11.82,14.27,,30520786
은행,11,10.91,7.87,,2061825
제약,62,-8.36,3.12,,1636597
조선,14,-25.47,22.5,,1524065
자동차,10,11.53,9.16,19.67,1493426
전기제품,11,186.9,-9.42,,1367847
전자장비와기기,20,23.05,0.59,,1248627
복합기업,17,43.24,2.65,,1147554
우주항공과국방,8,38.36,18.71,,1141379
전기장비,14,45.22,17.0,,1107715
석유와가스,12,4.51,-0.77,,900691
증권,33,7.82,8.4,,877101
자동차부품,73,-74.69,5.55,,815207
화학,72,16.38,5.75,9.32,776580
기계,22,14.48,3.62,19.06,684091
생명보험,4,17.78,5.94,,664668
손해보험,11,10.45,12.67,,532391
IT서비스,14,29.67,9.05,,501867
양방향미디어와서비스,3,21.64,5.08,,500368
화장품,19,21.4,15.5,,426922
건설,39,7.79,7.26,,411652
철강,36,-3.73,0.36,13.69,376016
식품,52,3.71,1.31,,371719
비철금속,26,2.69,3.38,9.09,346073
전자제품,4,-51.16,4.36,,338547
무선통신서비스,3,20.66,4.67,,283108
해운사,8,14.06,7.94,,264393
전기유틸리티,4,53.07,11.65,,260137
게임엔터테인먼트,5,10.61,11.92,,214685
항공사,8,0.81,-83.43,,203848
담배,1,19.3,11.77,,179800
백화점과일반상점,12,11.19,1.63,,177980
항공화물운송과물류,10,4.36,7.48,,175982
에너지장비및서비스,10,74.43,2.08,,175766
"섬유,의류,신발,호화품",45,16.94,6.0,11.01,168811
기타,25,,,,136208
무역회사와판매업체,7,8.22,84.01,,135669
다각화된통신서비스,1,7.64,10.22,,132311
부동산,28,31.5,1.36,17.48,98657
가정용기기와용품,5,6.38,13.41,,94092
방송과엔터테인먼트,8,20.28,-2.5,,91925
건축자재,31,0.75,3.84,,87999
가스유틸리티,11,5.6,7.33,,79699
"호텔,레스토랑,레저",9,4.78,3.32,,73282
운송인프라,3,5.63,10.46,,61858
카드,1,8.68,7.45,,53643
디스플레이패널,2,-3.53,3.44,,48305
상업서비스와공급품,9,14.03,9.04,,46733
통신장비,3,13.56,8.28,,32258
광고,3,7.28,10.32,,30632
도로와철도운송,5,-8.22,-10.84,,25771
음료,9,-7.58,3.71,,25368
포장재,16,-27.57,2.12,,24526
건강관리장비와용품,5,7.93,-4.92,,17858
가구,7,25.6,4.35,,16058
핸드셋,3,1578.24,4.47,,13827
복합유틸리티,1,2.39,14.84,,8441
디스플레이장비및부품,3,-1082.38,-3.54,,7255
종이와목재,10,-1.24,-4.64,,6984
사무용전자제품,1,10.56,1.88,,4003
창업투자,1,14.93,5.99,,3218
건축제품,4,-7.49,-11.82,,2309
출판,2,3.28,96.89,,2288
교육서비스,4,-2.57,-12.33,11.88,2262
건강관리업체및서비스,1,7.68,11.08,,2243
식품과기본식료품소매,2,2.22,11.89,,1702
전문소매,1,-6.07,-0.26,,1497
레저용장비와제품,2,2.38,6.36,,1398
가정용품,2,,,,1232
소프트웨어,1,7.63,5.56,,1217
판매업체,2,-51.77,-9.09,,1083
생물공학,2,,,,1041
컴퓨터와주변기기,2,,,,595
문구류,1,,,,251
