Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
013520,화승코퍼레이션,자동차부품,1.65,31.51,2450,1226,0.057,◎ 매우 저평가
016880,웅진,출판,3.28,96.89,2080,1662,0.072,◎ 매우 저평가
002380,KCC,건축자재,2.35,23.51,452000,38840,0.118,◎ 매우 저평가
136490,선진,식품,2.92,23.5,10480,2492,0.14,◎ 매우 저평가
015760,한국전력,전기유틸리티,2.37,19.4,31500,202219,0.176,○ 저평가
402340,SK스퀘어,반도체와반도체장비,4.33,37.82,1076000,1419502,0.199,○ 저평가
003650,미창석유,화학,2.13,15.44,151000,2627,0.244,○ 저평가
003480,한진중공업홀딩스,가스유틸리티,2.02,14.18,4595,1357,0.263,○ 저평가
071320,지역난방공사,복합유틸리티,2.39,14.84,72900,8441,0.269,○ 저평가
023590,다우기술,증권,3.39,15.95,38150,16514,0.276,○ 저평가
