섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,11.89,14.27,,30670812
은행,11,11.48,7.87,,2174029
제약,62,-6.5,4.44,,1581921
조선,14,23.83,22.5,,1545224
전기제품,11,208.16,-9.42,,1469746
자동차,10,11.57,9.16,18.84,1467174
전자장비와기기,20,23.23,0.91,,1382471
복합기업,17,22.91,2.65,,1223775
전기장비,14,7.52,17.0,,1209952
우주항공과국방,8,39.53,18.71,,1144038
석유와가스,12,-2.78,-1.49,,913352
증권,33,7.8,8.4,,895966
화학,72,20.74,5.75,9.18,829115
자동차부품,73,-45.94,5.55,,772958
기계,22,-2.48,3.62,18.88,752975
생명보험,3,18.22,5.56,,691245
손해보험,11,10.82,12.67,,548785
IT서비스,14,33.87,7.52,,511624
양방향미디어와서비스,3,28.19,5.08,,494507
화장품,19,17.37,15.5,,457843
건설,39,7.9,7.26,,453536
철강,36,-2.92,0.36,13.18,389992
식품,52,5.58,1.25,,383431
전자제품,4,-52.11,4.36,,366896
비철금속,26,1.65,3.38,9.07,334594
전기유틸리티,4,56.04,11.65,,273865
무선통신서비스,3,19.55,4.67,,266220
해운사,8,13.38,7.94,,247336
항공사,8,-49.14,-83.43,,220361
게임엔터테인먼트,5,9.23,11.92,,215130
에너지장비및서비스,10,77.37,2.08,,187436
담배,1,14.36,11.77,,184886
백화점과일반상점,12,18.62,1.63,,183608
항공화물운송과물류,10,4.52,7.48,,182532
"섬유,의류,신발,호화품",45,11.12,5.45,10.86,169254
기타,27,,,,147550
무역회사와판매업체,7,8.68,84.01,,137889
다각화된통신서비스,1,10.39,10.22,,134580
부동산,28,12.71,1.36,17.18,95286
방송과엔터테인먼트,8,25.15,-2.5,,94320
가정용기기와용품,5,6.36,13.41,,93665
건축자재,31,3.25,3.84,,92405
가스유틸리티,11,5.51,7.33,,80691
"호텔,레스토랑,레저",9,6.09,3.32,,75402
운송인프라,3,5.57,10.46,,62981
카드,1,8.81,7.45,,54396
상업서비스와공급품,9,9.5,9.04,,47953
디스플레이패널,2,-3.49,3.44,,47755
통신장비,3,13.55,8.28,,32244
광고,3,7.24,10.32,,30790
도로와철도운송,5,-8.82,-10.84,,26438
포장재,16,13.61,2.28,,26034
음료,9,-7.68,3.71,,25710
건강관리장비와용품,5,8.17,-4.92,,17298
가구,7,25.72,4.35,,16071
핸드셋,3,-7.81,4.47,,14803
복합유틸리티,1,2.5,14.84,,8846
디스플레이장비및부품,3,-1554.88,-3.54,,7731
종이와목재,10,-0.29,-4.97,,7037
사무용전자제품,1,10.42,1.88,,3949
창업투자,1,15.29,5.99,,3296
건강관리업체및서비스,1,4.04,11.08,,2574
건축제품,4,-1.23,-1.76,,2373
출판,2,3.34,96.89,,2324
교육서비스,4,-2.69,-12.33,11.68,2286
식품과기본식료품소매,2,2.25,11.89,,1734
전문소매,1,-6.14,-0.26,,1513
레저용장비와제품,2,2.52,6.36,,1456
가정용품,2,,,,1248
소프트웨어,1,7.81,5.56,,1246
판매업체,2,-51.97,-9.09,,1089
생물공학,2,,,,1003
컴퓨터와주변기기,2,,,,640
문구류,1,,,,263
