Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,15200324,260000,18270969,11.66,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,12228442,1674000,3980661,7.46,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1496422,186500,3630299,8.37,,,◎ 대장주(#3)
402340,SK스퀘어,반도체와반도체장비,1368052,1037000,646713,4.18,37.82,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,1089034,1458000,890759,112.29,7.7,,○ 우량주(#5)
005380,현대차,자동차,826198,403500,626542,13.14,8.41,,○ 우량주(#6)
207940,삼성바이오로직스,제약,702697,1518000,86767,41.93,19.44,,○ 우량주(#7)
105560,KB금융,은행,614674,173300,3030441,10.96,9.98,,△ 중대형(#8)
032830,삼성생명,생명보험,612000,306000,440735,21.32,4.96,,△ 중대형(#9)
028260,삼성물산,복합기업,610561,376500,310104,22.79,6.02,,△ 중대형(#10)
