Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
013520,화승코퍼레이션,자동차부품,1.82,31.51,2690,1346,0.068,◎ 매우 저평가
002380,KCC,건축자재,1.15,23.51,474000,40730,0.086,◎ 매우 저평가
016880,웅진,출판,3.34,96.89,2115,1690,0.1,◎ 매우 저평가
136490,선진,식품,2.83,23.5,10160,2416,0.158,○ 저평가
096760,JW홀딩스,제약,3.61,23.57,4130,3053,0.19,○ 저평가
015760,한국전력,전기유틸리티,2.61,19.4,31900,204787,0.197,○ 저평가
402340,SK스퀘어,반도체와반도체장비,4.18,37.82,1037000,1368052,0.204,○ 저평가
003650,미창석유,화학,1.94,15.44,137500,2392,0.233,○ 저평가
023590,다우기술,증권,2.32,15.95,39000,16882,0.244,○ 저평가
033530,SJG세종,자동차부품,2.03,14.05,7010,1896,0.276,○ 저평가
