Code,종목명,섹터,종가,5일수익률(%),20일수익률(%),거래량배수,RSI14,PER,점수,시총_억,평가
003670,포스코퓨처엠,화학,200500,17.32,45.61,2.38,68.3,396.25,19.7,178337,◎ 강세
011070,LG이노텍,전자장비와기기,642000,12.63,24.9,5.67,62.6,22.91,18.31,151943,◎ 강세
006400,삼성SDI,전기제품,577000,12.04,45.34,1.81,69.4,1259.83,13.85,464979,◎ 강세
457190,이수스페셜티케미컬,화학,70000,9.03,33.59,2.32,56.1,319.63,11.35,21153,○ 양호
105560,KB금융,은행,173300,6.25,2.85,3.31,52.5,10.96,9.57,614674,○ 양호
010950,S-Oil,석유와가스,150100,6.3,17.91,1.72,60.9,11.49,8.02,168987,○ 양호
086790,하나금융지주,은행,136300,5.91,8.69,1.97,59.6,9.39,7.88,373963,△ 보통
316140,우리금융지주,은행,33800,5.79,0.6,1.79,53.3,8.02,7.58,249034,△ 보통
003550,LG,복합기업,119400,5.2,18.1,2.1,65.3,24.81,7.3,180523,△ 보통
055550,신한지주,은행,108900,5.42,8.14,1.64,55.3,10.39,7.06,511231,△ 보통
