Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
000100,유한양행,제약,84900,4.48,-6.19,35.54,8.81,67621,◎ 극과매도(RSI 4)
175330,JB금융지주,은행,25700,4.84,-6.03,6.97,12.36,48381,◎ 극과매도(RSI 5)
081660,미스토홀딩스,"섬유,의류,신발,호화품",37050,8.84,-8.18,9.9,11.39,19671,◎ 극과매도(RSI 9)
012750,에스원,상업서비스와공급품,71600,10.36,-8.56,15.24,10.45,27207,◎ 극과매도(RSI 10)
026960,동서,식품,24650,12.68,-5.92,16.96,8.48,24576,◎ 극과매도(RSI 13)
207940,삼성바이오로직스,제약,1443000,14.47,-2.83,54.31,19.44,667978,◎ 극과매도(RSI 14)
138930,BNK금융지주,은행,17480,15.66,-3.96,6.8,7.58,54245,◎ 극과매도(RSI 16)
000120,CJ대한통운,항공화물운송과물류,95700,16.37,-5.53,9.02,5.98,21831,◎ 극과매도(RSI 16)
251270,넷마블,게임엔터테인먼트,41950,17.41,-15.25,16.02,4.15,34382,◎ 극과매도(RSI 17)
029780,삼성카드,카드,49450,18.06,-5.81,8.87,7.45,57292,◎ 극과매도(RSI 18)
