섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,14,34.47,11.03,,31376455
복합기업,18,47.85,5.35,,2950370
조선,14,-75.24,20.72,,2244914
자동차,10,20.6,9.16,11.96,2161914
은행,11,12.17,7.87,,2039701
전기장비,14,89.93,16.91,,1886944
전기제품,12,6.68,-11.78,,1762175
제약,62,-17.62,2.23,,1563343
우주항공과국방,8,47.1,15.63,,1479492
증권,33,11.26,8.33,,1272357
전자장비와기기,21,59.18,2.82,,1163579
기계,22,42.98,3.04,14.95,1097777
화학,72,30.86,5.74,7.84,1071871
자동차부품,73,4.14,5.67,,911795
석유와가스,11,25.7,-0.77,,827442
생명보험,4,16.19,5.94,,673346
건설,39,11.01,4.24,,565509
철강,36,-39.26,-0.18,9.74,543219
IT서비스,14,42.94,9.05,,539804
양방향미디어와서비스,3,25.72,5.08,,514421
손해보험,11,7.75,12.67,,439175
화장품,19,24.66,15.5,,398031
비철금속,26,20.94,3.38,8.51,396948
식품,52,9.45,1.22,,369282
전기유틸리티,4,58.43,11.65,,358698
전자제품,4,22.17,4.36,,315374
무선통신서비스,3,33.7,4.67,,290328
게임엔터테인먼트,5,13.57,11.92,,249129
해운사,8,17.05,7.94,,236974
항공화물운송과물류,10,-12.16,7.48,,232651
백화점과일반상점,12,65.71,1.63,,217187
"섬유,의류,신발,호화품",47,16.42,5.03,11.39,215384
담배,1,20.29,11.77,,208826
기타,25,,,,197434
항공사,8,1.06,-83.43,,192203
에너지장비및서비스,9,26.52,6.17,,175806
무역회사와판매업체,6,9.92,97.89,,162627
다각화된통신서비스,1,8.72,10.22,,150961
방송과엔터테인먼트,8,17.64,-12.33,7.7,118865
부동산,30,65.83,1.33,14.3,107134
건축자재,31,-2.54,3.36,,107068
"호텔,레스토랑,레저",10,14.01,5.36,,92602
가정용기기와용품,5,11.39,11.76,,91770
가스유틸리티,11,8.46,7.33,,86215
운송인프라,3,4.83,10.46,,67824
디스플레이패널,2,28.17,3.44,,64310
카드,1,8.87,7.45,,57292
통신장비,3,54.42,8.28,,50206
상업서비스와공급품,9,6.89,9.04,,42863
소프트웨어,2,31.98,10.78,,37896
광고,3,9.22,10.32,,31353
포장재,16,26.37,2.12,,29488
음료,9,-5.72,3.71,,28359
도로와철도운송,5,-3.79,-7.55,,21601
건강관리장비와용품,5,18.32,-4.92,,20888
핸드셋,3,2061.91,4.47,,20119
가구,7,8.82,4.35,,17017
디스플레이장비및부품,3,11.71,7.49,,10424
인터넷과카탈로그소매,1,10.06,4.36,,9960
종이와목재,10,5.36,-4.64,,9002
복합유틸리티,1,2.54,14.84,8.29,8603
사무용전자제품,1,23.46,1.88,,4537
창업투자,1,25.46,5.99,,3563
교육서비스,4,-1.83,-3.13,,3476
출판,2,1.69,96.89,,2818
건축제품,4,-3.53,-11.82,,2739
식품과기본식료품소매,2,3.23,11.89,,1950
전문소매,2,-67.28,-0.26,,1943
건강관리업체및서비스,1,6.63,11.08,,1935
레저용장비와제품,2,6.46,6.36,,1619
생물공학,2,-1.85,-81.98,,1599
가정용품,2,,,,1547
판매업체,2,-13.31,-9.09,,1370
컴퓨터와주변기기,2,,,,850
문구류,1,,,,299
