Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,16311117,279000,41211149,42.5,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,13078088,1835000,9160593,31.13,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1500434,187000,8015932,28.49,,,◎ 대장주(#3)
402340,SK스퀘어,복합기업,1485851,1126000,1278470,16.94,37.82,,○ 우량주(#4)
005380,현대차,자동차,1322735,646000,4856178,18.28,8.41,,○ 우량주(#5)
034020,두산에너빌리티,기계,804545,125600,6170656,951.52,1.11,,○ 우량주(#6)
329180,HD현대중공업,조선,742076,707000,892919,45.03,18.82,,○ 우량주(#7)
009150,삼성전기,전자장비와기기,715566,958000,2172764,105.29,7.7,,△ 중대형(#8)
028260,삼성물산,복합기업,705435,435000,965392,30.71,6.02,,△ 중대형(#9)
207940,삼성바이오로직스,제약,667978,1443000,84654,54.31,19.44,,△ 중대형(#10)
