Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
298000,효성화학,화학,0.38,260.94,38900,1475,0.007,◎ 매우 저평가
016880,웅진,출판,1.69,96.89,2550,2038,0.015,◎ 매우 저평가
019180,티에이치엔,자동차부품,2.02,36.85,7710,1388,0.044,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,2.05,31.51,3190,1597,0.061,◎ 매우 저평가
031820,아이티센씨티에스,IT서비스,1.97,25.89,8580,1039,0.063,◎ 매우 저평가
002990,금호건설,건설,2.64,26.79,4535,1690,0.087,◎ 매우 저평가
136490,선진,식품,2.05,23.5,10240,2435,0.102,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.61,23.71,52000,2014,0.104,◎ 매우 저평가
036580,팜스코,식품,2.81,23.16,3135,1151,0.135,◎ 매우 저평가
000540,흥국화재,손해보험,1.7,18.85,3965,2547,0.144,◎ 매우 저평가
