Code,종목명,섹터,종가,5일수익률(%),20일수익률(%),거래량배수,RSI14,PER,점수,시총_억,평가
086280,현대글로비스,항공화물운송과물류,265500,17.74,21.51,4.6,69.3,11.49,22.34,199125,◎ 강세
011210,현대위아,자동차부품,93400,12.67,18.53,3.33,66.2,25.65,16.0,25400,◎ 강세
000270,기아,자동차,168300,9.29,12.95,2.24,61.2,8.81,11.53,657065,○ 양호
018260,삼성에스디에스,IT서비스,179300,7.43,20.58,2.58,49.4,18.27,10.01,138738,○ 양호
005385,현대차우,자동차,267000,7.23,11.48,2.21,61.0,7.56,9.44,62320,○ 양호
014680,한솔케미칼,화학,300000,4.71,8.3,4.24,58.4,23.09,8.95,34111,○ 양호
017670,SK텔레콤,무선통신서비스,103400,6.16,11.18,2.32,62.1,54.39,8.48,222093,○ 양호
005387,현대차2우B,자동차,266500,6.81,11.04,1.66,61.4,7.54,8.48,93179,○ 양호
006800,미래에셋증권,증권,74300,5.69,11.73,1.8,57.0,34.49,7.49,415758,△ 보통
192820,코스맥스,화장품,219500,5.02,17.57,1.94,59.2,20.24,6.97,24912,△ 보통
