Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
454910,두산로보틱스,기계,88800,5.49,-18.53,-104.23,-14.78,57560,◎ 극과매도(RSI 5)
064400,LG씨엔에스,IT서비스,80000,10.61,-13.89,16.79,17.35,77509,◎ 극과매도(RSI 11)
066570,LG전자,전자제품,202000,13.85,-13.68,37.27,4.28,329027,◎ 극과매도(RSI 14)
017670,SK텔레콤,무선통신서비스,89900,14.34,-10.19,52.7,3.33,193096,◎ 극과매도(RSI 14)
006800,미래에셋증권,증권,42150,16.2,-17.84,13.23,12.36,235857,◎ 극과매도(RSI 16)
307950,현대오토에버,IT서비스,550000,16.92,-23.18,83.42,10.27,150832,◎ 극과매도(RSI 17)
000155,두산우,복합기업,496500,17.04,-14.54,115.84,,19842,◎ 극과매도(RSI 17)
005380,현대차,자동차,511000,18.13,-20.16,15.75,8.41,1046312,◎ 극과매도(RSI 18)
018260,삼성에스디에스,IT서비스,191600,18.14,-19.5,23.15,7.89,148256,◎ 극과매도(RSI 18)
034220,LG디스플레이,디스플레이패널,12180,18.46,-12.56,-74.72,3.44,60900,◎ 극과매도(RSI 18)
