Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,16106498,275500,30767569,41.97,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,12436656,1745000,4575855,29.6,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1450687,180800,4185947,27.54,,,◎ 대장주(#3)
402340,SK스퀘어,복합기업,1345976,1020000,743849,15.35,37.82,,○ 우량주(#4)
005380,현대차,자동차,1236737,604000,2679164,17.1,8.41,,○ 우량주(#5)
009150,삼성전기,전자장비와기기,737227,987000,882288,108.47,7.7,,○ 우량주(#6)
034020,두산에너빌리티,기계,678995,106000,3654573,803.03,1.11,,○ 우량주(#7)
012450,한화에어로스페이스,우주항공과국방,663105,1286000,358529,40.39,19.14,,△ 중대형(#8)
329180,HD현대중공업,조선,627668,598000,379693,38.08,18.82,,△ 중대형(#9)
032830,삼성생명,생명보험,624000,312000,562673,27.1,4.96,,△ 중대형(#10)
