Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
298000,효성화학,화학,0.38,260.94,38900,1475,0.007,◎ 매우 저평가
016880,웅진,출판,1.51,96.89,2280,1822,0.014,◎ 매우 저평가
019180,티에이치엔,자동차부품,1.94,36.85,7420,1336,0.051,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.93,31.51,3015,1509,0.058,◎ 매우 저평가
002990,금호건설,건설,2.47,26.79,4235,1578,0.087,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.29,23.71,45650,1768,0.101,◎ 매우 저평가
136490,선진,식품,2.17,23.5,10830,2575,0.109,◎ 매우 저평가
002380,KCC,건축자재,2.89,23.51,499500,42922,0.127,◎ 매우 저평가
000540,흥국화재,손해보험,1.76,18.85,4100,2634,0.152,○ 저평가
036580,팜스코,식품,3.36,23.16,2870,1054,0.161,○ 저평가
