섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,14.0,14.27,,26694857
은행,11,10.93,7.87,,2055721
제약,62,4.64,3.03,,1512103
조선,14,0.41,22.5,,1494278
자동차,10,7.48,9.16,16.69,1345074
전기제품,11,3.23,-9.42,,1119114
전자장비와기기,20,23.91,0.59,9.02,1064796
복합기업,17,36.64,2.65,,1010738
전기장비,14,47.74,17.0,,1009822
우주항공과국방,8,37.67,18.71,,997872
증권,33,7.37,8.4,,875493
석유와가스,12,7.52,-0.77,,826309
자동차부품,73,4.46,5.66,,738600
화학,72,-41.24,5.75,9.2,672805
생명보험,4,13.93,5.94,,639892
기계,22,13.27,3.11,20.6,618326
손해보험,11,9.94,12.67,,490825
양방향미디어와서비스,3,20.64,5.08,,488777
IT서비스,14,30.38,7.52,,418927
건설,39,12.56,7.37,,367711
화장품,19,12.11,15.5,,352699
철강,36,4.77,0.72,16.23,344107
식품,52,3.53,1.31,,340769
전기유틸리티,4,52.13,11.65,,273132
전자제품,4,-26.04,4.36,,267414
비철금속,26,6.29,3.51,,251248
무선통신서비스,3,30.0,4.67,,238895
해운사,8,12.62,7.94,,228712
게임엔터테인먼트,5,10.03,11.92,,221567
백화점과일반상점,12,20.35,1.63,,195924
항공사,8,5.87,-83.43,,191356
담배,1,17.89,11.77,,188624
"섬유,의류,신발,호화품",45,14.69,5.45,11.63,181258
항공화물운송과물류,10,-1.69,7.48,,169382
다각화된통신서비스,1,8.8,10.22,,135840
기타,25,,,,131988
무역회사와판매업체,7,13.42,84.01,,128317
에너지장비및서비스,10,-1.17,2.08,,123534
방송과엔터테인먼트,8,50.45,-2.5,,96955
부동산,28,33.04,1.28,17.82,95504
가정용기기와용품,5,9.25,11.76,,88197
건축자재,31,2.11,3.84,,77768
가스유틸리티,11,5.58,7.33,,75765
"호텔,레스토랑,레저",10,8.61,5.36,,71647
운송인프라,3,5.6,10.46,,63440
카드,1,8.9,7.45,,54975
디스플레이패널,2,-55.21,3.44,,45510
상업서비스와공급품,9,13.34,9.04,,42785
광고,3,7.9,10.32,,30228
음료,9,2.67,3.71,,25243
통신장비,3,30.46,8.28,,23753
포장재,16,-23.62,2.12,,22899
도로와철도운송,5,-7.99,-10.84,,22150
건강관리장비와용품,5,12.32,-4.92,,16918
가구,7,18.3,4.35,,15727
핸드셋,3,-10.23,4.47,,11737
복합유틸리티,1,2.22,14.84,9.96,7156
종이와목재,10,64.92,-4.03,,6535
디스플레이장비및부품,3,11.38,7.49,,6308
사무용전자제품,1,15.39,1.88,,3935
창업투자,1,14.12,5.99,,3044
건축제품,4,-3.9,-11.82,,2197
교육서비스,4,-2.34,-12.33,11.89,2174
출판,2,3.19,96.89,,2126
건강관리업체및서비스,1,4.42,11.08,,1885
식품과기본식료품소매,2,3.03,11.89,,1617
전문소매,1,-16.21,-0.26,,1466
레저용장비와제품,2,3.86,6.36,,1372
가정용품,2,,,,1177
소프트웨어,1,9.28,5.56,,1160
생물공학,2,,,,1025
판매업체,2,,,,872
컴퓨터와주변기기,2,,,,614
문구류,1,,,,300
