Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,12861813,220000,41639623,17.78,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,11046887,1550000,8120587,14.97,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1269351,158200,5777392,12.79,,,◎ 대장주(#3)
402340,SK스퀘어,반도체와반도체장비,1220615,925000,1326609,7.86,37.82,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,832088,1114000,1198287,105.22,7.7,,○ 우량주(#5)
005380,현대차,자동차,745318,364000,898415,11.22,8.41,,○ 우량주(#6)
207940,삼성바이오로직스,제약,717047,1549000,155654,50.33,19.44,,○ 우량주(#7)
105560,KB금융,은행,585944,165200,1297643,10.44,9.98,,△ 중대형(#8)
032830,삼성생명,생명보험,570000,285000,442214,19.85,4.96,,△ 중대형(#9)
028260,삼성물산,복합기업,494611,305000,639206,20.45,6.02,,△ 중대형(#10)
