Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,15784952,270000,16011816,21.82,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,13676758,1919000,4119477,18.54,44.15,,◎ 대장주(#2)
402340,SK스퀘어,반도체와반도체장비,1611212,1221000,691321,10.37,37.82,,◎ 대장주(#3)
005935,삼성전자우,반도체와반도체장비,1533331,191100,2367144,15.45,,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,1081565,1448000,663151,136.77,7.7,,○ 우량주(#5)
005380,현대차,자동차,884554,432000,717603,13.32,8.41,,○ 우량주(#6)
032830,삼성생명,생명보험,659000,329500,367666,22.95,4.96,,○ 우량주(#7)
207940,삼성바이오로직스,제약,638352,1379000,42385,44.8,19.44,,△ 중대형(#8)
105560,KB금융,은행,625314,176300,1044277,11.15,9.98,,△ 중대형(#9)
000270,기아,자동차,584839,149800,555094,8.43,12.92,,△ 중대형(#10)
