Code,종목명,섹터,종가,MA5,MA20,거래량배수,5일수익률(%),시총_억,평가
180640,한진칼,항공사,110100,112980.0,113290.0,17.44,-6.46,73505,◎ 강한신호(거래량 17.4배)
181710,NHN,IT서비스,50900,41590.0,39665.0,10.72,33.25,16671,◎ 강한신호(거래량 10.7배)
035420,NAVER,양방향미디어와서비스,234000,208160.0,206695.0,7.41,17.29,367085,◎ 강한신호(거래량 7.4배)
161390,한국타이어앤테크놀로지,자동차부품,66800,63840.0,61705.0,2.9,8.09,82749,○ 양호(거래량 2.9배)
005385,현대차우,자동차,274000,272300.0,265850.0,2.89,1.67,63954,○ 양호(거래량 2.9배)
000150,두산,복합기업,1972000,1744200.0,1675100.0,2.61,23.25,319342,○ 양호(거래량 2.6배)
005387,현대차2우B,자동차,272000,268200.0,264875.0,2.38,2.26,95102,○ 양호(거래량 2.4배)
006400,삼성SDI,전기제품,688000,656600.0,652400.0,2.37,11.69,554428,○ 양호(거래량 2.4배)
009420,한올바이오파마,제약,62500,62360.0,49537.5,2.35,22.79,32650,○ 양호(거래량 2.4배)
018880,한온시스템,자동차부품,5630,5260.0,4972.25,1.82,16.44,57779,△ 보통(거래량 1.8배)
