Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.83,36.85,8230,1481,0.05,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.73,31.51,2615,1309,0.059,◎ 매우 저평가
002990,금호건설,건설,2.06,26.79,4070,1516,0.082,◎ 매우 저평가
016880,웅진,출판,3.58,96.89,2120,1694,0.1,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.18,23.71,42800,1657,0.108,◎ 매우 저평가
136490,선진,식품,2.09,23.5,9920,2359,0.115,◎ 매우 저평가
002380,KCC,건축자재,2.86,23.51,550000,47261,0.136,◎ 매우 저평가
000540,흥국화재,손해보험,1.53,18.85,3570,2293,0.147,◎ 매우 저평가
001450,현대해상,손해보험,3.03,20.6,34550,29453,0.19,○ 저평가
015760,한국전력,전기유틸리티,2.87,19.4,38900,249724,0.192,○ 저평가
