섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,14,18.41,11.03,,37183937
복합기업,18,59.37,5.35,,3164809
자동차,10,18.44,9.16,13.22,2323688
전자장비와기기,21,46.39,2.71,,2253943
조선,14,-12.53,20.72,,2122798
은행,11,11.57,7.87,,1959855
전기제품,12,-0.03,-11.78,,1840266
전기장비,14,64.32,16.91,,1523893
제약,62,2.49,3.43,,1511801
우주항공과국방,8,45.54,15.63,,1374587
증권,33,8.94,8.33,,1122928
자동차부품,73,5.28,5.67,,1115339
화학,72,-78.5,5.75,8.7,1001719
기계,22,20.99,3.04,17.78,943026
석유와가스,11,8.91,-0.77,,896659
생명보험,4,18.05,5.94,,850804
IT서비스,14,49.18,7.52,,743213
양방향미디어와서비스,3,23.55,5.08,,553753
건설,39,15.9,4.02,,518214
전자제품,4,-18.83,4.36,,495099
철강,36,8.62,0.21,10.58,483089
손해보험,11,7.59,12.67,,459755
화장품,19,11.55,15.5,,363346
비철금속,26,6.78,3.38,8.56,358307
식품,52,1.74,1.03,,349463
전기유틸리티,4,74.71,11.65,,328554
무선통신서비스,3,36.0,4.67,,285048
게임엔터테인먼트,5,11.19,11.92,,247194
해운사,8,9.31,8.06,,229998
백화점과일반상점,12,24.96,1.63,,212603
항공화물운송과물류,10,-3.5,6.89,,211964
항공사,8,5.55,-83.43,,200375
"섬유,의류,신발,호화품",47,18.6,4.81,11.52,196931
담배,1,18.19,11.77,,191738
기타,25,,,,177238
에너지장비및서비스,9,-2.24,6.17,,155298
무역회사와판매업체,6,9.74,97.89,,142505
다각화된통신서비스,1,8.62,10.22,,133067
방송과엔터테인먼트,8,52.85,-12.33,,112417
부동산,30,59.21,1.33,16.18,99350
건축자재,31,-22.05,3.53,,96356
가정용기기와용품,5,7.27,13.41,,88711
"호텔,레스토랑,레저",10,11.4,5.36,,87956
디스플레이패널,2,-98.71,3.44,,80960
가스유틸리티,11,5.9,7.33,,79190
운송인프라,3,5.8,10.46,,67234
카드,1,8.28,7.45,,53469
통신장비,3,55.28,8.28,,42858
상업서비스와공급품,9,13.37,9.04,,41582
소프트웨어,2,23.62,10.78,,36260
광고,3,8.31,10.32,,30376
음료,9,3.11,3.71,,26843
포장재,16,-35.34,2.12,,26079
도로와철도운송,5,-5.08,-7.55,,21533
건강관리장비와용품,5,12.77,-4.92,,20251
핸드셋,3,-13.03,4.47,,16740
가구,7,20.14,4.35,,14766
인터넷과카탈로그소매,1,9.11,4.36,,9720
디스플레이장비및부품,3,17.64,7.49,,9162
복합유틸리티,1,2.57,14.84,8.61,8279
종이와목재,10,64.04,-4.97,,7833
사무용전자제품,1,15.93,1.88,,4071
창업투자,1,21.86,5.99,,3059
교육서비스,4,-4.3,-10.34,11.02,2709
건축제품,4,-4.53,-11.82,,2442
출판,2,3.58,96.89,,2347
전문소매,2,-17.73,-0.26,,1954
식품과기본식료품소매,2,3.11,11.89,,1801
건강관리업체및서비스,1,4.08,11.08,,1740
생물공학,2,-2.11,-81.98,,1593
레저용장비와제품,2,4.24,6.36,,1510
가정용품,2,,,,1330
판매업체,2,,,,1148
컴퓨터와주변기기,2,,,,735
문구류,1,,,,263
