Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
013520,화승코퍼레이션,자동차부품,1.79,31.51,2650,1326,0.067,◎ 매우 저평가
002380,KCC,건축자재,1.19,23.51,493500,42406,0.085,◎ 매우 저평가
016880,웅진,출판,3.3,96.89,2095,1674,0.103,◎ 매우 저평가
136490,선진,식품,2.88,23.5,10340,2459,0.16,○ 저평가
096760,JW홀딩스,제약,3.68,23.57,4205,3109,0.2,○ 저평가
015760,한국전력,전기유틸리티,2.65,19.4,32350,207675,0.2,○ 저평가
402340,SK스퀘어,반도체와반도체장비,4.3,37.82,1067000,1407629,0.215,○ 저평가
003650,미창석유,화학,1.93,15.44,136300,2371,0.234,○ 저평가
023590,다우기술,증권,2.34,15.95,39450,17077,0.245,○ 저평가
013700,까뮤이앤씨,건설,3.52,19.4,1693,1012,0.246,○ 저평가
